"","V1","V2","V3","V4","V5"
"row","0487AbuCubaydBakri","0487AbuCubaydBakri.MasalikWaMamalik","172899","2","451117"
"row","1450MuhammadKhayrRamadan","1450MuhammadKhayrRamadan.TakmilaMucjamMuallifin","171106","1","171106"
"row","0508FattalNaysaburi","0508FattalNaysaburi.RawdaWacizin","169925","1","169925"
"row","0526IbnAbiYacla","0526IbnAbiYacla.TabaqatHanabila","168626","3","177647"
"row","0812CaliKhazraji","0812CaliKhazraji.CuqudLuluiyya","166864","1","166864"
"row","1119IbnMacsum","1119IbnMacsum.SulafaCasr","165246","2","455792"
"row","1422MuhammadSalimMuhaysin","1422MuhammadSalimMuhaysin.MucjamHuffazQuran","164475","1","164475"
"row","0421IbnMuhammadMarzuqi","0421IbnMuhammadMarzuqi.AzminaWaAmkina","163761","3","528018"
"row","1010TamimiDari","1010TamimiDari.TabaqatSaniya","160337","1","160337"
"row","0884AbuDharrSibtIbnCajami","0884AbuDharrSibtIbnCajami.KunuzDhahab","159422","1","159422"
"row","0615MuwaffaqDinShafici","0615MuwaffaqDinShafici.MurshidZuwwar","153418","1","153418"
"row","0347IbnYunusSadafi","0347IbnYunusSadafi.Tarikh","153143","1","153143"
"row","0535QawwamSunna","0535QawwamSunna.SiyarSalaf","152652","7","686153"
"row","1338MuhammadFaridBey","1338MuhammadFaridBey.Tarikh","151011","2","209411"
"row","0279IbnAbiKhaythama","0279IbnAbiKhaythama.TarikhKabir","149024","1","149024"
"row","1332HassunBuraqi","1332HassunBuraqi.TarikhKufa","148073","1","148073"
"row","0682ZakariyaQazwini","0682ZakariyaQazwini.AtharBilad","146055","1","146055"
"row","0365IbnFaqihHamadhani","0365IbnFaqihHamadhani.Buldan","144961","1","144961"
"row","0968Tashkubruizadah","0968Tashkubruizadah.ShaqaiqNucmaniyya","144938","1","144938"
"row","0696IbnZahiri","0696IbnZahiri.Mashyakha","140811","1","140811"
"row","1376CabdRahmanSacdi","1376CabdRahmanSacdi.Muallafat","139589","1","139589"
"row","1011SahibMacalim","1011SahibMacalim.TahrirTawusi","139152","1","139152"
"row","0578IbnBashkuwal","0578IbnBashkuwal.Sila","138539","5","289367"
"row","0385IbnNadim","0385IbnNadim.Fihrist","136752","1","136752"
"row","0945ShamsDinDawudi","0945ShamsDinDawudi.TabaqatMufassirin","136631","1","136631"
"row","0351IbnQanic","0351IbnQanic.MucjamSahaba","135240","1","135240"
"row","0249Azraqi","0249Azraqi.AkhbarMakka","134561","1","134561"
"row","0709CaliCalawi","0709CaliCalawi.Majdi","132990","1","132990"
"row","0576IbnMuhammadSilafi","0576IbnMuhammadSilafi.MashyakhaBaghdadiyya","132988","20","404528"
"row","0456IbnHazm","0456IbnHazm.JamharaAnsab","128354","32","3245263"
"row","0953IbnTulun","0953IbnTulun.MufakahaKhillan","126765","6","178327"
"row","0703MuhammadMarrakushi","0703MuhammadMarrakushi.DhaylWaTakmila","126762","1","126762"
"row","0390Muqaddasi","0390Muqaddasi.AhsanTaqasim","125328","1","125328"
"row","1286IcjazHusaynKunturi","1286IcjazHusaynKunturi.KashfHajb","121650","1","121650"
"row","0884IbnMuflih","0884IbnMuflih.MaqsidArshad","121180","3","1264858"
"row","0428IbnManjuwayhIsbahani","0428IbnManjuwayhIsbahani.RijalSahihMuslim","120928","1","120928"
"row","0555IbnQalanisi","0555IbnQalanisi.Tarikh","119840","1","119840"
"row","0395IbnMandahMuhammad","0395IbnMandahMuhammad.FathBab","119106","10","452421"
"row","0367IbnHawqal","0367IbnHawqal.SuraArd","118183","1","118183"
"row","0276IbnQutaybaDinawari","0276IbnQutaybaDinawari.Macarif","117859","15","1278564"
"row","0851IbnQadiShuhba","0851IbnQadiShuhba.TabaqatShaficiya","117607","1","117607"
"row","0403IbnFaradi","0403IbnFaradi.TarikhCulamaAndalus","116572","1","116572"
"row","0684IbnShaddad","0684IbnShaddad.AclaqKhatira","116047","1","116047"
"row","0575IbnKhayrIshbili","0575IbnKhayrIshbili.Fahrasa","115451","1","115451"
"row","1422MuqbilWadici","1422MuqbilWadici.TarajimRijal","114946","1","114946"
"row","0599IbnYahyaDabbi","0599IbnYahyaDabbi.BughyatMultamis","114657","1","114657"
"row","1037CabdQadirCaydarus","1037CabdQadirCaydarus.TarikhNurSafir","113209","1","113209"
"row","0799IbnFarhun","0799IbnFarhun.DibajMudhahhab","112659","2","362715"
"row","0565IbnZaydBayhaqi","0565IbnZaydBayhaqi.TarikhBayhaq","110400","3","206653"
"row","1346CbdQadirBadran","1346CbdQadirBadran.Munadama","110084","2","196981"
"row","1331IbnAminShinqiti","1331IbnAminShinqiti.WasitFiTarajim","108414","1","108414"
"row","0685IbnSacidMaghribi","0685IbnSacidMaghribi.Mughrib","107617","6","339839"
